index,Player ID,Inducted into HOF,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Weight,Height,Batting Hand,Throwing Hand,MLB Debut,Final MLB Game,Award Name,All Star Games Played
38872,ramoswi01,N,990.0,3492.0,362.0,946.0,151.0,2.0,136.0,534.0,1.0,3.0,245.0,638.0,26.0,11.0,4.0,29.0,138.0,241.0,73.0,R,R,2010-05-02,2021-08-29,Silver Slugger,1.0
38852,ramirra01,N,1539.0,5494.0,562.0,1432.0,224.0,31.0,53.0,484.0,112.0,75.0,264.0,621.0,37.0,21.0,73.0,35.0,113.0,170.0,72.0,R,R,1980-08-04,1992-10-03,None,0.0
23949,ramirma02,N,2302.0,8244.0,1544.0,2574.0,547.0,20.0,555.0,1831.0,38.0,33.0,1329.0,1813.0,216.0,109.0,2.0,90.0,243.0,225.0,72.0,R,R,1993-09-02,2011-04-06,TSN All-Star,9.0
38842,ramirjo01,N,980.0,3545.0,607.0,987.0,245.0,28.0,163.0,540.0,154.0,35.0,404.0,491.0,34.0,29.0,19.0,31.0,56.0,190.0,69.0,B,R,2013-09-01,2021-10-03,TSN All-Star,3.0
38832,ramirha01,N,1668.0,6349.0,1049.0,1834.0,375.0,32.0,271.0,917.0,281.0,93.0,660.0,1234.0,65.0,71.0,11.0,36.0,137.0,235.0,74.0,R,R,2005-09-20,2019-04-17,Silver Slugger,3.0
38822,ramirar01,N,2194.0,8136.0,1098.0,2303.0,495.0,24.0,386.0,1417.0,29.0,18.0,633.0,1238.0,58.0,127.0,3.0,87.0,233.0,205.0,73.0,R,R,1998-05-26,2015-10-03,Silver Slugger,3.0
38820,ramiral03,N,1371.0,5134.0,601.0,1387.0,249.0,17.0,115.0,590.0,143.0,63.0,263.0,650.0,18.0,30.0,36.0,42.0,139.0,180.0,74.0,R,R,2008-03-31,2016-10-02,Silver Slugger,1.0
22003,raineti01,N,2502.0,8872.0,1571.0,2605.0,430.0,113.0,170.0,980.0,808.0,146.0,1330.0,966.0,148.0,42.0,39.0,76.0,142.0,160.0,68.0,B,R,1979-09-11,2002-09-29,All-Star Game MVP,7.0
38783,radfopa01,N,1361.0,4979.0,945.0,1206.0,176.0,57.0,13.0,462.0,346.0,0.0,790.0,449.0,0.0,47.0,6.0,0.0,0.0,148.0,66.0,R,R,1883-05-01,1894-09-29,None,0
17120,raderdo02,N,1465.0,5186.0,631.0,1302.0,245.0,39.0,155.0,722.0,37.0,33.0,528.0,1055.0,51.0,40.0,27.0,51.0,142.0,208.0,74.0,R,R,1967-07-31,1977-10-02,Gold Glove,0
38778,radclri01,N,1081.0,4074.0,598.0,1267.0,205.0,50.0,42.0,533.0,40.0,30.0,310.0,141.0,0.0,14.0,38.0,0.0,30.0,170.0,70.0,L,L,1934-09-17,1943-09-29,None,1.0
38743,quinnjo02,N,1772.0,6897.0,895.0,1804.0,228.0,70.0,30.0,800.0,270.0,0.0,366.0,295.0,0.0,39.0,65.0,0.0,0.0,158.0,67.0,R,R,1884-04-26,1901-07-23,None,0
38690,purcebl01,N,1097.0,4563.0,767.0,1217.0,177.0,60.0,13.0,495.0,197.0,0.0,284.0,248.0,0.0,28.0,0.0,0.0,0.0,159.0,69.0,R,R,1879-05-01,1890-09-16,None,0
38689,puntoni01,N,1163.0,3253.0,421.0,798.0,141.0,27.0,19.0,263.0,104.0,36.0,386.0,651.0,9.0,3.0,63.0,29.0,63.0,195.0,69.0,B,R,2001-09-09,2014-09-27,None,0
38680,pujolal01,N,2971.0,11114.0,1872.0,3301.0,672.0,16.0,679.0,2150.0,116.0,41.0,1345.0,1349.0,315.0,113.0,1.0,117.0,413.0,235.0,75.0,R,R,2001-04-02,2021-10-03,Silver Slugger,9.0
38657,puigya01,N,861.0,3015.0,441.0,834.0,159.0,21.0,132.0,415.0,79.0,38.0,297.0,681.0,21.0,43.0,2.0,19.0,73.0,240.0,74.0,R,R,2013-06-03,2019-09-27,None,1.0
